|Department|Title|Pay Grade|Annual Salary|Ethnic Code|Description|Gender|Year of Birth|EEO Job description
493|Public Works|Human Resources Mgr|SR14|79,406.08|02|Black|M|1958|Officials and Administrators
1142|Public Works|Engineer 3|SR14|83,473.13|01|White (Not of Hispanic Origin)|M|1969|Professionals
1180|Public Works|Engineer 3|SR14|83,473.13|01|White (Not of Hispanic Origin)|M|1965|Professionals
1824|Public Works|Engineer 3|SR14|88,945.36|01|White (Not of Hispanic Origin)|M|1945|Professionals
1826|Public Works|Engineer 3|SR14|83,473.13|01|White (Not of Hispanic Origin)|M|1973|Professionals
1832|Public Works|Engineer 3|SR14|80,348.53|02|Black|M|1961|Professionals
2022|Public Works|Engineer 3|SR14|74,758.11|01|White (Not of Hispanic Origin)|M|1969|Professionals
2024|Public Works|Engineer 3|SR14|74,758.11|01|White (Not of Hispanic Origin)|F|1951|Professionals
2044|Public Works|Contract Admin|SR14|89,006.31|02|Black|M|1959|Professionals
102|Public Works|Special Projects Mgr|SR15|96,438.20|01|White (Not of Hispanic Origin)|F|1967|Officials and Administrators
108|Public Works|Pub Works Asst Dir-Engineering|SR15|134,484.11|01|White (Not of Hispanic Origin)|M|1950|Officials and Administrators
473|Public Works|Pub Works Asst Dir-F & A|SR15|115,184.67|01|White (Not of Hispanic Origin)|F|1962|Officials and Administrators
8317|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1990|Service Maintenance
8366|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1988|Service Maintenance
8376|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1990|Service Maintenance
8411|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1994|Service Maintenance
8426|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1995|Service Maintenance
8427|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1965|Service Maintenance
8428|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1968|Service Maintenance
8504|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1970|Service Maintenance
8513|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1994|Service Maintenance
8514|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1980|Service Maintenance
8521|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1964|Service Maintenance
8522|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1959|Service Maintenance
8957|Public Works|Maint & Repair Worker 1|TG03|24,008.09|01|White (Not of Hispanic Origin)|M|1992|Service Maintenance
9123|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1988|Service Maintenance
9140|Public Works|Maint & Repair Worker 1|TG03|24,008.09|02|Black|M|1967|Service Maintenance
8270|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
8318|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1989|Service Maintenance
8335|Public Works|Maint & Repair Worker 1|TG03|24,971.10|02|Black|M|1970|Service Maintenance
8343|Public Works|Maint & Repair Worker 1|TG03|24,971.10|02|Black|M|1990|Service Maintenance
8345|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8351|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1986|Service Maintenance
8352|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1993|Service Maintenance
8353|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1980|Service Maintenance
8947|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1994|Service Maintenance
8965|Public Works|Maint & Repair Worker 1|TG03|24,971.10|02|Black|M|1989|Service Maintenance
8967|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1989|Service Maintenance
9260|Public Works|Maint & Repair Worker 1|TG03|24,971.10|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
9305|Public Works|Maint & Repair Worker 1|TG03|24,971.10|02|Black|M|1979|Service Maintenance
9236|Public Works|Maint & Repair Worker 1|TG03|25,979.20|01|White (Not of Hispanic Origin)|M|1981|Service Maintenance
8886|Public Works|Maint & Repair Worker 1|TG03|26,941.92|02|Black|M|1976|Service Maintenance
9091|Public Works|Maint & Repair Worker 1|TG03|26,941.92|02|Black|M|1956|Service Maintenance
8536|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1960|Service Maintenance
8744|Public Works|Maint & Repair Worker 1|TG03|27,994.51|01|White (Not of Hispanic Origin)|M|1952|Service Maintenance
8786|Public Works|Maint & Repair Worker 1|TG03|27,994.51|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
8790|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1951|Service Maintenance
8823|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1955|Service Maintenance
8907|Public Works|Maint & Repair Worker 1|TG03|27,994.51|03|Hispanic|M|1948|Service Maintenance
8912|Public Works|Maint & Repair Worker 1|TG03|27,994.51|01|White (Not of Hispanic Origin)|M|1981|Service Maintenance
8913|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1962|Service Maintenance
8958|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1986|Service Maintenance
9005|Public Works|Maint & Repair Worker 1|TG03|27,994.51|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
9006|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1962|Service Maintenance
9014|Public Works|Maint & Repair Worker 1|TG03|27,994.72|01|White (Not of Hispanic Origin)|M|1965|Service Maintenance
9047|Public Works|Maint & Repair Worker 1|TG03|27,994.51|02|Black|M|1972|Service Maintenance
9052|Public Works|Maint & Repair Worker 1|TG03|27,994.51|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
9248|Public Works|Maint & Repair Worker 2|TG04|27,457.02|02|Black|M|1986|Service Maintenance
9013|Public Works|Maint & Repair Worker 2|TG04|28,599.19|02|Black|M|1984|Service Maintenance
9069|Public Works|Maint & Repair Worker 2|TG04|28,599.19|02|Black|M|1969|Service Maintenance
8750|Public Works|Maint & Repair Worker 2|TG04|29,674.18|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8810|Public Works|Maint & Repair Worker 2|TG04|29,673.28|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8873|Public Works|Maint & Repair Worker 2|TG04|29,674.18|02|Black|M|1979|Service Maintenance
9015|Public Works|Maint & Repair Worker 2|TG04|29,674.18|01|White (Not of Hispanic Origin)|M|1979|Service Maintenance
9056|Public Works|Maint & Repair Worker 2|TG04|29,674.18|02|Black|M|1982|Service Maintenance
8097|Public Works|Maint & Repair Worker 2|TG04|30,816.36|02|Black|M|1975|Skilled Craft Workers
8546|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1955|Service Maintenance
8588|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1959|Service Maintenance
8719|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1959|Service Maintenance
8722|Public Works|Maint & Repair Worker 2|TG04|30,816.36|02|Black|M|1961|Service Maintenance
8724|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1971|Service Maintenance
8738|Public Works|Maint & Repair Worker 2|TG04|30,817.28|02|Black|M|1956|Service Maintenance
8745|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1955|Service Maintenance
8758|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1973|Service Maintenance
8762|Public Works|Maint & Repair Worker 2|TG04|30,816.36|02|Black|M|1967|Service Maintenance
8779|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8782|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8787|Public Works|Maint & Repair Worker 2|TG04|30,816.36|01|White (Not of Hispanic Origin)|M|1960|Service Maintenance
8788|Public Works|Maint & Repair Worker 2|TG04|30,816.36|02|Black|M|1955|Service Maintenance
8887|Public Works|Maint & Repair Worker 2|TG04|30,816.36|02|Black|M|1948|Service Maintenance
8312|Public Works|Sanitation Worker|TG05|28,106.49|02|Black|M|1984|Service Maintenance
8371|Public Works|Sanitation Worker|TG05|28,106.49|02|Black|M|1987|Service Maintenance
8258|Public Works|Equip Operator 1|TG05|29,338.25|01|White (Not of Hispanic Origin)|M|1987|Service Maintenance
8261|Public Works|Equip Operator 1|TG05|29,338.25|02|Black|M|1989|Service Maintenance
8266|Public Works|Equip Operator 1|TG05|29,338.25|02|Black|M|1961|Service Maintenance
8268|Public Works|Equip Operator 1|TG05|29,338.25|01|White (Not of Hispanic Origin)|M|1993|Service Maintenance
8269|Public Works|Sanitation Worker|TG05|29,338.25|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
8294|Public Works|Sanitation Worker|TG05|29,338.25|02|Black|M|1957|Service Maintenance
9166|Public Works|Equip Operator 1|TG05|29,338.25|01|White (Not of Hispanic Origin)|M|1965|Service Maintenance
9308|Public Works|Sanitation Worker|TG05|29,338.25|02|Black|M|1987|Service Maintenance
9309|Public Works|Sanitation Worker|TG05|29,338.25|02|Black|M|1960|Service Maintenance
9333|Public Works|Equip Operator 1|TG05|29,338.25|02|Black|M|1990|Service Maintenance
9344|Public Works|Sanitation Worker|TG05|29,338.25|02|Black|M|1987|Service Maintenance
9348|Public Works|Equip Operator 1|TG05|29,338.25|01|White (Not of Hispanic Origin)|M|1988|Service Maintenance
9186|Public Works|Sanitation Worker|TG05|30,547.61|01|White (Not of Hispanic Origin)|M|1951|Service Maintenance
8742|Public Works|Equip Operator 1|TG05|31,779.37|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
8725|Public Works|Sanitation Worker|TG05|32,921.55|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8793|Public Works|Sanitation Worker|TG05|32,921.55|02|Black|M|1961|Service Maintenance
8976|Public Works|Sanitation Worker|TG05|32,921.55|02|Black|M|1983|Service Maintenance
9049|Public Works|Maint & Repair Worker 3|TG06|31,040.32|02|Black|M|1966|Service Maintenance
9239|Public Works|Maint & Repair Worker 3|TG06|31,040.32|02|Black|M|1965|Service Maintenance
8751|Public Works|Maint & Repair Worker 3|TG06|32,249.68|01|White (Not of Hispanic Origin)|M|1980|Service Maintenance
8901|Public Works|Maint & Repair Worker 3|TG06|32,249.68|02|Black|M|1982|Service Maintenance
9019|Public Works|Maint & Repair Worker 3|TG06|32,249.68|02|Black|M|1964|Service Maintenance
8915|Public Works|Maint & Repair Worker 3|TG06|33,481.44|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
9009|Public Works|Maint & Repair Worker 3|TG06|33,481.44|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
9021|Public Works|Maint & Repair Worker 3|TG06|33,481.44|01|White (Not of Hispanic Origin)|M|1960|Service Maintenance
8763|Public Works|Maint & Repair Worker 3|TG06|34,780.38|01|White (Not of Hispanic Origin)|M|1962|Service Maintenance
7940|Public Works|Equip Operator 2|TG07|31,488.23|01|White (Not of Hispanic Origin)|M|1962|Skilled Craft Workers
8386|Public Works|Equip Operator 2|TG07|31,488.23|01|White (Not of Hispanic Origin)|M|1968|Service Maintenance
9202|Public Works|Equip Operator 2|TG07|31,488.23|02|Black|M|1973|Service Maintenance
9346|Public Works|Equip Operator 2|TG07|31,488.23|02|Black|M|1975|Service Maintenance
8257|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1988|Service Maintenance
8365|Public Works|Equip Operator 2|TG07|32,922.24|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8880|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
8945|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1988|Service Maintenance
9277|Public Works|Equip Operator 2|TG07|32,921.55|02|Black|M|1982|Service Maintenance
9281|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1959|Service Maintenance
9285|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
9290|Public Works|Equip Operator 2|TG07|32,921.55|02|Black|M|1990|Service Maintenance
9292|Public Works|Equip Operator 2|TG07|32,921.55|02|Black|M|1983|Service Maintenance
9298|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1990|Service Maintenance
9302|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1971|Service Maintenance
9306|Public Works|Equip Operator 2|TG07|32,921.55|01|White (Not of Hispanic Origin)|M|1966|Service Maintenance
8881|Public Works|Equip Operator 2|TG07|34,153.30|02|Black|M|1963|Service Maintenance
8903|Public Works|Equip Operator 2|TG07|34,153.30|01|White (Not of Hispanic Origin)|M|1980|Service Maintenance
8789|Public Works|Equip Operator 2|TG07|35,474.64|02|Black|M|1953|Service Maintenance
8811|Public Works|Equip Operator 2|TG07|35,474.64|02|Black|M|1960|Service Maintenance
8854|Public Works|Equip Operator 2|TG07|35,474.64|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8098|Public Works|Skilled Craft Worker 1|TG07|36,795.99|01|White (Not of Hispanic Origin)|M|1978|Skilled Craft Workers
8584|Public Works|Equip Operator 2|TG07|36,795.99|01|White (Not of Hispanic Origin)|M|1975|Service Maintenance
8729|Public Works|Equip Operator 2|TG07|36,795.99|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
8783|Public Works|Equip Operator 2|TG07|36,795.99|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8791|Public Works|Equip Operator 2|TG07|36,795.99|02|Black|M|1961|Service Maintenance
8809|Public Works|Equip Operator 2|TG07|36,795.99|01|White (Not of Hispanic Origin)|M|1973|Service Maintenance
8367|Public Works|Equip Operator 3|TG08|33,167.90|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
8368|Public Works|Equip Operator 3|TG08|33,167.90|02|Black|M|1973|Service Maintenance
8375|Public Works|Equip Operator 3|TG08|33,167.90|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8932|Public Works|Equip Operator 3|TG08|33,167.68|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
9323|Public Works|Equip Operator 3|TG08|33,167.90|01|White (Not of Hispanic Origin)|M|1960|Service Maintenance
9338|Public Works|Equip Operator 3|TG08|33,167.90|01|White (Not of Hispanic Origin)|M|1981|Service Maintenance
8271|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1993|Service Maintenance
8284|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1971|Service Maintenance
8285|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1974|Service Maintenance
8300|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1978|Service Maintenance
8325|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1961|Service Maintenance
8344|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1978|Service Maintenance
8347|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1966|Service Maintenance
8359|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
8362|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1968|Service Maintenance
8587|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1976|Service Maintenance
8671|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1978|Service Maintenance
8798|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
8916|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1964|Service Maintenance
8931|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1980|Service Maintenance
8948|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1992|Service Maintenance
8954|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1986|Service Maintenance
9008|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1975|Service Maintenance
9045|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1979|Service Maintenance
9046|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1984|Service Maintenance
9050|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
9090|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1990|Service Maintenance
9160|Public Works|Equip Operator 3|TG08|34,578.82|02|Black|M|1972|Service Maintenance
9257|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1988|Service Maintenance
9263|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1992|Service Maintenance
9280|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1966|Service Maintenance
9297|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
9304|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1977|Service Maintenance
9337|Public Works|Equip Operator 3|TG08|34,577.92|01|White (Not of Hispanic Origin)|M|1986|Service Maintenance
9347|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1984|Service Maintenance
9349|Public Works|Equip Operator 3|TG08|34,578.82|01|White (Not of Hispanic Origin)|M|1987|Service Maintenance
8733|Public Works|Equip Operator 3|TG08|35,989.74|01|White (Not of Hispanic Origin)|M|1978|Service Maintenance
8996|Public Works|Equip Operator 3|TG08|35,989.74|02|Black|M|1965|Service Maintenance
9012|Public Works|Equip Operator 3|TG08|35,989.74|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
9029|Public Works|Equip Operator 3|TG08|35,989.74|02|Black|M|1975|Service Maintenance
9057|Public Works|Equip Operator 3|TG08|35,989.74|01|White (Not of Hispanic Origin)|M|1976|Service Maintenance
9072|Public Works|Equip Operator 3|TG08|35,989.74|01|White (Not of Hispanic Origin)|M|1985|Service Maintenance
8677|Public Works|Equip Operator 3|TG08|37,333.92|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8780|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1969|Service Maintenance
8850|Public Works|Equip Operator 3|TG08|37,333.92|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8874|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1983|Service Maintenance
8879|Public Works|Equip Operator 3|TG08|37,333.92|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8927|Public Works|Equip Operator 3|TG08|37,333.48|02|Black|M|1974|Service Maintenance
9044|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1980|Service Maintenance
9080|Public Works|Equip Operator 3|TG08|37,333.48|02|Black|M|1965|Service Maintenance
9084|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1955|Service Maintenance
9148|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1964|Service Maintenance
9154|Public Works|Equip Operator 3|TG08|37,333.48|01|White (Not of Hispanic Origin)|M|1970|Service Maintenance
8531|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1964|Service Maintenance
8609|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1962|Service Maintenance
8653|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8740|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8741|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8746|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1975|Service Maintenance
8747|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1975|Service Maintenance
8755|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8759|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1971|Service Maintenance
8764|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1962|Service Maintenance
8771|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1978|Service Maintenance
8775|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1968|Service Maintenance
8778|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1968|Service Maintenance
8794|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1958|Service Maintenance
8796|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1960|Service Maintenance
8804|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8806|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1953|Service Maintenance
8815|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1976|Service Maintenance
8817|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1976|Service Maintenance
8845|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1968|Service Maintenance
8853|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1973|Service Maintenance
8861|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8878|Public Works|Equip Operator 3|TG08|38,700.48|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8888|Public Works|Equip Operator 3|TG08|38,700.48|01|White (Not of Hispanic Origin)|M|1961|Service Maintenance
8889|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1964|Service Maintenance
8891|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8900|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1969|Service Maintenance
8923|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8963|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1957|Service Maintenance
8995|Public Works|Equip Operator 3|TG08|38,699.62|02|Black|M|1966|Service Maintenance
9055|Public Works|Equip Operator 3|TG08|38,699.62|01|White (Not of Hispanic Origin)|M|1979|Service Maintenance
2854|Public Works|Signal Tech 1|TG09|36,370.47|01|White (Not of Hispanic Origin)|M|1968|Technicians
3623|Public Works|Signal Tech 1|TG09|36,370.47|01|White (Not of Hispanic Origin)|M|1962|Technicians
8263|Public Works|Carpenter 1|TG10|38,117.33|03|Hispanic|M|1971|Service Maintenance
3575|Public Works|Signal Tech 2|TG11|41,342.30|01|White (Not of Hispanic Origin)|M|1969|Technicians
3576|Public Works|Signal Tech 2|TG11|41,342.30|01|White (Not of Hispanic Origin)|M|1966|Technicians
3506|Public Works|Signal Tech 2|TG11|43,021.97|02|Black|M|1953|Technicians
3508|Public Works|Signal Tech 2|TG11|43,021.97|01|White (Not of Hispanic Origin)|M|1975|Technicians
3401|Public Works|Signal Tech 2|TG11|44,545.28|01|White (Not of Hispanic Origin)|M|1964|Technicians
8807|Public Works|Maint & Repair Leader 1|TL07|16,276.18|01|White (Not of Hispanic Origin)|M|1955|Service Maintenance
8826|Public Works|Maint & Repair Leader 1|TL07|36,079.33|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8544|Public Works|Maint & Repair Leader 1|TL07|37,423.07|01|White (Not of Hispanic Origin)|M|1972|Service Maintenance
8801|Public Works|Maint & Repair Leader 1|TL07|37,423.07|02|Black|M|1977|Service Maintenance
8909|Public Works|Maint & Repair Leader 1|TL07|37,423.07|02|Black|M|1981|Service Maintenance
8743|Public Works|Maint & Repair Leader 1|TL07|38,878.78|02|Black|M|1967|Service Maintenance
8800|Public Works|Maint & Repair Leader 1|TL07|38,878.78|02|Black|M|1958|Service Maintenance
8723|Public Works|Maint & Repair Leader 1|TL07|40,491.26|02|Black|M|1958|Service Maintenance
8730|Public Works|Maint & Repair Leader 1|TL07|40,491.26|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
8732|Public Works|Maint & Repair Leader 1|TL07|40,491.26|01|White (Not of Hispanic Origin)|M|1963|Service Maintenance
8760|Public Works|Maint & Repair Leader 1|TL07|40,491.26|01|White (Not of Hispanic Origin)|M|1966|Service Maintenance
8769|Public Works|Maint & Repair Leader 1|TL07|40,491.26|02|Black|M|1964|Service Maintenance
8770|Public Works|Maint & Repair Leader 1|TL07|40,491.26|02|Black|M|1959|Service Maintenance
8848|Public Works|Maint & Repair Leader 1|TL07|40,491.26|02|Black|M|1967|Service Maintenance
8884|Public Works|Maint & Repair Leader 1|TL07|40,491.26|01|White (Not of Hispanic Origin)|M|1982|Service Maintenance
8914|Public Works|Maint & Repair Leader 1|TL07|40,491.26|02|Black|M|1978|Service Maintenance
8962|Public Works|Maint & Repair Leader 2|TL09|39,998.56|01|White (Not of Hispanic Origin)|M|1983|Service Maintenance
8734|Public Works|Maint & Repair Leader 2|TL09|41,520.96|02|Black|M|1968|Service Maintenance
8736|Public Works|Maint & Repair Leader 2|TL09|41,521.46|01|White (Not of Hispanic Origin)|M|1966|Service Maintenance
8792|Public Works|Maint & Repair Leader 2|TL09|41,521.46|01|White (Not of Hispanic Origin)|M|1965|Service Maintenance
8802|Public Works|Maint & Repair Leader 2|TL09|41,521.46|01|White (Not of Hispanic Origin)|M|1974|Service Maintenance
8749|Public Works|Maint & Repair Leader 2|TL09|43,111.55|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8797|Public Works|Maint & Repair Leader 2|TL09|43,111.55|02|Black|M|1965|Service Maintenance
8819|Public Works|Maint & Repair Leader 2|TL09|43,111.55|01|White (Not of Hispanic Origin)|M|1965|Service Maintenance
8532|Public Works|Maint & Repair Leader 2|TL09|44,746.43|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8554|Public Works|Maint & Repair Leader 2|TL09|44,746.43|01|White (Not of Hispanic Origin)|M|1962|Service Maintenance
8761|Public Works|Maint & Repair Leader 2|TL09|44,746.43|01|White (Not of Hispanic Origin)|M|1964|Service Maintenance
8767|Public Works|Maint & Repair Leader 2|TL09|44,746.43|01|White (Not of Hispanic Origin)|M|1958|Service Maintenance
8772|Public Works|Maint & Repair Leader 2|TL09|44,746.43|01|White (Not of Hispanic Origin)|M|1954|Service Maintenance
